Ad_NH_A,Ad_NH_B,Ad_NH_R,Ad_NH_W,Adj_H_O,Adj_Ppl,CCn-DEM,CCn-REP,CEx-DEM,CEx-REP,Distrct,Precnct
564.0,654.0,254.0,2030.0,226.0,3728.0,1076.0,751.0,807.0,1010.0,1,2402701-001
131.0,96.0,41.0,544.0,44.0,856.0,204.0,227.0,160.0,271.0,1,2402701-002
544.0,562.0,135.0,1502.0,233.0,2976.0,1001.0,465.0,826.0,648.0,1,2402701-003
827.0,423.0,227.0,2522.0,125.0,4124.0,1398.0,1058.0,1031.0,1401.0,1,2402701-004
123.0,89.0,41.0,566.0,28.0,847.0,259.0,218.0,206.0,299.0,1,2402701-005
755.0,540.0,228.0,1642.0,1609.0,4774.0,716.0,389.0,631.0,504.0,1,2402701-006
383.0,274.0,112.0,699.0,139.0,1607.0,264.0,154.0,232.0,188.0,1,2402701-007
619.0,567.0,240.0,1537.0,680.0,3643.0,866.0,477.0,704.0,622.0,1,2402701-008
665.0,428.0,189.0,1218.0,201.0,2701.0,802.0,408.0,705.0,530.0,1,2402701-009
400.0,325.0,102.0,1207.0,133.0,2167.0,627.0,350.0,545.0,442.0,1,2402701-010
489.0,184.0,93.0,851.0,78.0,1695.0,411.0,294.0,274.0,423.0,1,2402701-011
373.0,174.0,92.0,786.0,47.0,1472.0,348.0,285.0,292.0,364.0,1,2402701-012
361.0,333.0,143.0,1191.0,93.0,2121.0,632.0,467.0,471.0,618.0,1,2402701-013
477.0,162.0,102.0,1648.0,101.0,2490.0,650.0,635.0,526.0,801.0,1,2402701-014
2301.0,3238.0,566.0,2029.0,772.0,8906.0,1742.0,450.0,1634.0,534.0,1,2402701-015
190.0,165.0,130.0,559.0,193.0,1237.0,266.0,198.0,201.0,268.0,1,2402701-016
1581.0,610.0,193.0,1477.0,212.0,4073.0,851.0,373.0,621.0,579.0,1,2402702-001
1471.0,305.0,233.0,2097.0,146.0,4252.0,1075.0,696.0,740.0,1036.0,1,2402702-002
693.0,318.0,175.0,2271.0,141.0,3598.0,1018.0,783.0,838.0,1009.0,1,2402702-003
846.0,902.0,246.0,1070.0,219.0,3283.0,844.0,320.0,766.0,404.0,1,2402702-004
641.0,73.0,104.0,1131.0,71.0,2020.0,553.0,352.0,375.0,519.0,1,2402702-005
1023.0,302.0,145.0,1283.0,130.0,2883.0,605.0,419.0,432.0,586.0,3,2402702-006
354.0,107.0,96.0,1544.0,70.0,2171.0,543.0,577.0,382.0,746.0,3,2402702-007
1667.0,315.0,200.0,1852.0,180.0,4214.0,953.0,660.0,705.0,894.0,3,2402702-008
3097.0,1209.0,218.0,1861.0,546.0,6931.0,1003.0,329.0,841.0,472.0,3,2402702-009
827.0,79.0,123.0,945.0,37.0,2011.0,528.0,340.0,403.0,462.0,2,2402702-010
1433.0,400.0,188.0,1945.0,149.0,4115.0,611.0,487.0,480.0,640.0,3,2402702-011
836.0,269.0,223.0,2497.0,216.0,4041.0,807.0,507.0,509.0,778.0,1,2402702-012
247.0,99.0,60.0,862.0,38.0,1306.0,389.0,177.0,287.0,260.0,1,2402702-013
219.0,104.0,108.0,832.0,72.0,1335.0,448.0,167.0,313.0,288.0,1,2402702-014
1015.0,94.0,145.0,1552.0,90.0,2896.0,648.0,437.0,428.0,632.0,1,2402702-015
1396.0,350.0,194.0,2153.0,162.0,4255.0,937.0,660.0,671.0,911.0,1,2402702-016
197.0,7.0,66.0,258.0,10.0,538.0,162.0,100.0,115.0,147.0,3,2402702-017
424.0,160.0,156.0,2000.0,107.0,2847.0,807.0,598.0,580.0,845.0,3,2402702-018
495.0,116.0,93.0,1348.0,94.0,2146.0,553.0,537.0,408.0,703.0,3,2402702-019
239.0,185.0,59.0,847.0,55.0,1385.0,380.0,176.0,284.0,276.0,1,2402702-020
76.0,11.0,39.0,340.0,24.0,490.0,136.0,67.0,84.0,119.0,1,2402702-021
21.0,1.0,8.0,70.0,14.0,114.0,23.0,7.0,17.0,12.0,3,2402702-022
1363.0,668.0,169.0,804.0,281.0,3285.0,623.0,192.0,530.0,272.0,3,2402702-023
457.0,140.0,122.0,1146.0,85.0,1950.0,487.0,386.0,353.0,525.0,3,2402702-024
282.0,96.0,67.0,1156.0,73.0,1674.0,553.0,380.0,394.0,536.0,1,2402702-025
441.0,144.0,113.0,1501.0,83.0,2282.0,496.0,565.0,361.0,703.0,3,2402703-001
619.0,217.0,201.0,2947.0,157.0,4141.0,791.0,1175.0,592.0,1401.0,3,2402703-002
562.0,200.0,157.0,1977.0,89.0,2985.0,639.0,693.0,465.0,871.0,3,2402703-003
91.0,7.0,13.0,229.0,12.0,352.0,89.0,79.0,58.0,106.0,3,2402703-004
2836.0,432.0,225.0,3117.0,147.0,6757.0,1042.0,1030.0,814.0,1251.0,3,2402703-005
404.0,194.0,154.0,1763.0,105.0,2620.0,603.0,671.0,391.0,889.0,3,2402703-006
54.0,45.0,133.0,1673.0,128.0,2033.0,455.0,762.0,346.0,912.0,3,2402704-001
204.0,50.0,157.0,1723.0,84.0,2218.0,530.0,902.0,327.0,1119.0,3,2402704-002
97.0,56.0,132.0,1985.0,85.0,2355.0,507.0,1009.0,366.0,1165.0,3,2402704-003
323.0,238.0,147.0,2503.0,140.0,3351.0,525.0,1139.0,358.0,1339.0,3,2402704-004
95.0,48.0,111.0,1589.0,116.0,1959.0,414.0,943.0,305.0,1090.0,3,2402704-005
491.0,192.0,130.0,2189.0,110.0,3112.0,664.0,1163.0,456.0,1373.0,3,2402704-006
1711.0,433.0,243.0,2333.0,154.0,4874.0,1175.0,1057.0,883.0,1369.0,3,2402705-001
55.0,176.0,87.0,598.0,88.0,1004.0,403.0,158.0,322.0,233.0,3,2402705-002
298.0,1342.0,283.0,1822.0,313.0,4058.0,1403.0,349.0,1216.0,507.0,2,2402705-003
527.0,1595.0,327.0,2021.0,475.0,4945.0,1473.0,359.0,1330.0,479.0,2,2402705-004
1179.0,383.0,221.0,1922.0,155.0,3860.0,1091.0,836.0,828.0,1093.0,3,2402705-005
1942.0,901.0,506.0,3478.0,331.0,7158.0,1803.0,1176.0,1440.0,1525.0,3,2402705-006
255.0,699.0,169.0,962.0,177.0,2262.0,762.0,216.0,649.0,312.0,3,2402705-007
174.0,835.0,175.0,1142.0,308.0,2634.0,889.0,197.0,752.0,312.0,2,2402705-008
428.0,1409.0,308.0,883.0,689.0,3717.0,851.0,238.0,724.0,338.0,2,2402705-009
1878.0,295.0,176.0,1905.0,115.0,4369.0,1219.0,788.0,900.0,1095.0,3,2402705-010
333.0,75.0,103.0,1285.0,78.0,1874.0,561.0,540.0,449.0,654.0,3,2402705-011
220.0,856.0,178.0,1136.0,185.0,2575.0,864.0,303.0,735.0,407.0,2,2402705-012
110.0,212.0,90.0,856.0,218.0,1486.0,528.0,231.0,413.0,341.0,2,2402705-013
90.0,147.0,118.0,666.0,125.0,1146.0,303.0,179.0,234.0,243.0,2,2402705-014
310.0,721.0,211.0,1892.0,212.0,3346.0,1357.0,434.0,1110.0,652.0,2,2402705-015
293.0,900.0,205.0,1237.0,222.0,2857.0,925.0,268.0,817.0,361.0,1,2402705-016
267.0,404.0,113.0,1267.0,119.0,2170.0,702.0,277.0,533.0,435.0,2,2402705-017
147.0,695.0,147.0,737.0,216.0,1942.0,673.0,152.0,578.0,222.0,2,2402705-018
481.0,217.0,230.0,2339.0,119.0,3386.0,907.0,1012.0,735.0,1202.0,3,2402705-019
635.0,294.0,167.0,1622.0,128.0,2846.0,857.0,717.0,669.0,903.0,3,2402705-020
287.0,1094.0,162.0,1324.0,311.0,3178.0,991.0,252.0,888.0,340.0,3,2402705-021
1400.0,314.0,204.0,2280.0,115.0,4313.0,1539.0,830.0,1166.0,1183.0,3,2402705-022
285.0,533.0,126.0,901.0,140.0,1985.0,555.0,179.0,461.0,262.0,3,2402705-023
289.0,998.0,215.0,1387.0,630.0,3519.0,1050.0,419.0,712.0,551.0,2,2402706-001
593.0,2226.0,283.0,999.0,718.0,4819.0,1858.0,392.0,1500.0,516.0,2,2402706-002
307.0,240.0,163.0,1189.0,169.0,2068.0,894.0,419.0,563.0,551.0,2,2402706-003
180.0,279.0,190.0,1882.0,190.0,2721.0,1412.0,680.0,879.0,896.0,2,2402706-004
136.0,411.0,192.0,983.0,279.0,2001.0,769.0,300.0,655.0,403.0,2,2402706-005
79.0,296.0,127.0,907.0,102.0,1511.0,696.0,279.0,580.0,406.0,1,2402706-006
317.0,789.0,118.0,980.0,280.0,2484.0,584.0,180.0,435.0,237.0,2,2402706-007
178.0,1067.0,191.0,791.0,415.0,2642.0,843.0,201.0,767.0,265.0,2,2402706-008
226.0,1122.0,235.0,814.0,789.0,3186.0,1092.0,222.0,1013.0,283.0,2,2402706-009
203.0,408.0,117.0,1250.0,210.0,2188.0,864.0,367.0,762.0,459.0,1,2402706-010
272.0,549.0,169.0,947.0,181.0,2118.0,973.0,341.0,865.0,464.0,2,2402706-011
53.0,218.0,108.0,548.0,135.0,1062.0,494.0,155.0,370.0,204.0,2,2402706-012
146.0,426.0,106.0,1054.0,245.0,1977.0,796.0,277.0,576.0,366.0,2,2402706-013
132.0,595.0,173.0,960.0,208.0,2068.0,880.0,270.0,778.0,404.0,1,2402706-014
530.0,1120.0,196.0,677.0,574.0,3097.0,1178.0,277.0,953.0,364.0,2,2402706-015
447.0,1261.0,291.0,1370.0,649.0,4018.0,1185.0,356.0,1072.0,461.0,1,2402706-016
408.0,1492.0,220.0,928.0,419.0,3467.0,1462.0,262.0,1223.0,344.0,2,2402706-017
241.0,490.0,203.0,1282.0,183.0,2399.0,1089.0,414.0,721.0,545.0,2,2402706-018
484.0,1591.0,197.0,996.0,376.0,3644.0,1416.0,262.0,1156.0,346.0,2,2402706-019
347.0,744.0,235.0,1321.0,238.0,2885.0,1219.0,341.0,872.0,449.0,2,2402706-020
435.0,790.0,140.0,536.0,629.0,2530.0,659.0,101.0,597.0,156.0,1,2402706-021
298.0,579.0,180.0,1094.0,256.0,2407.0,1010.0,256.0,774.0,338.0,2,2402706-022
38.0,101.0,88.0,653.0,71.0,951.0,498.0,233.0,320.0,306.0,2,2402706-023
580.0,1215.0,276.0,1228.0,596.0,3895.0,1369.0,377.0,1061.0,496.0,2,2402706-024
161.0,128.0,48.0,693.0,64.0,1094.0,489.0,301.0,262.0,396.0,2,2402706-025
246.0,986.0,241.0,1692.0,237.0,3402.0,1612.0,464.0,1209.0,611.0,2,2402706-026
598.0,1229.0,218.0,990.0,268.0,3303.0,1373.0,386.0,1024.0,508.0,2,2402706-027
977.0,412.0,216.0,1994.0,150.0,3749.0,1171.0,958.0,965.0,1160.0,2,2402706-028
1194.0,1474.0,339.0,2492.0,374.0,5873.0,2012.0,709.0,1755.0,966.0,1,2402706-029
385.0,925.0,137.0,581.0,588.0,2616.0,611.0,128.0,502.0,168.0,1,2402706-030
179.0,869.0,179.0,738.0,422.0,2387.0,841.0,180.0,750.0,260.0,2,2402706-031
266.0,195.0,91.0,1380.0,118.0,2050.0,664.0,554.0,523.0,683.0,2,2402706-032
299.0,859.0,205.0,1136.0,394.0,2893.0,1105.0,382.0,774.0,502.0,2,2402706-033
535.0,1776.0,254.0,726.0,888.0,4179.0,1198.0,194.0,1015.0,256.0,2,2402706-034
1777.0,1883.0,345.0,1763.0,348.0,6116.0,2362.0,663.0,1808.0,873.0,2,2402706-035
379.0,82.0,81.0,697.0,58.0,1297.0,430.0,319.0,286.0,452.0,3,2402705-024
1238.0,140.0,124.0,1179.0,108.0,2789.0,589.0,413.0,452.0,545.0,3,2402702-026
11.0,20.0,3.0,58.0,7.0,99.0,34.0,12.0,28.0,18.0,1,2402701-019
47.0,31.0,27.0,554.0,18.0,677.0,170.0,195.0,115.0,276.0,1,2402701-020
219.0,593.0,114.0,416.0,95.0,1437.0,419.0,76.0,344.0,133.0,1,2402701-017
925.0,1466.0,217.0,1237.0,436.0,4281.0,1018.0,349.0,951.0,413.0,1,2402701-021
96.0,91.0,16.0,337.0,58.0,598.0,145.0,139.0,124.0,167.0,1,2402701-018
